Combo/MI name	Type	NID
	nhpid_ingredient	29962
	nhpid_ingredient	29963
	nhpid_ingredient	29964
	nhpid_ingredient	29965
	nhpid_ingredient	29966
	nhpid_ingredient	29967
	nhpid_ingredient	29968
	nhpid_ingredient	29969
	nhpid_ingredient	29970
	nhpid_ingredient	29971
	nhpid_ingredient	29972
	nhpid_ingredient	29973
	nhpid_ingredient	29974
	nhpid_ingredient	29975
	nhpid_ingredient	29976
	nhpid_ingredient	29977
	nhpid_ingredient	29978
	nhpid_ingredient	29979
	nhpid_ingredient	29980
	nhpid_ingredient	29981
	nhpid_ingredient	29982
	nhpid_ingredient	29983
	nhpid_ingredient	29984
	nhpid_ingredient	29985
	nhpid_ingredient	29986
	nhpid_ingredient	29987
	nhpid_ingredient	29988
	nhpid_ingredient	29989
	nhpid_ingredient	29990
	nhpid_ingredient	29991
	nhpid_ingredient	29992
	nhpid_ingredient	29993
	nhpid_ingredient	29994
	nhpid_ingredient	29995
	nhpid_ingredient	29996
	nhpid_ingredient	29997
	nhpid_ingredient	29998
	nhpid_ingredient	29999
	nhpid_ingredient	30000
	nhpid_ingredient	30001
	nhpid_ingredient	30002
	nhpid_ingredient	30003
	nhpid_ingredient	30004
	nhpid_ingredient	30005
	nhpid_ingredient	30006
	nhpid_ingredient	30007
	nhpid_ingredient	30008
	nhpid_ingredient	30009
	nhpid_ingredient	30010
	nhpid_ingredient	30011
	nhpid_ingredient	30012
	nhpid_ingredient	30013
	nhpid_ingredient	30014
	nhpid_ingredient	30016
	nhpid_ingredient	30017
	nhpid_ingredient	30018
	nhpid_ingredient	30019
	nhpid_ingredient	30020
	nhpid_ingredient	30021
	nhpid_ingredient	30022
	nhpid_ingredient	30023
	nhpid_ingredient	30024
	nhpid_ingredient	30025
	nhpid_ingredient	30026
	nhpid_ingredient	30027
	nhpid_ingredient	30028
	nhpid_ingredient	30029
	nhpid_ingredient	30031
	nhpid_ingredient	30032
	nhpid_ingredient	30033
	nhpid_ingredient	30034
	nhpid_ingredient	30035
	nhpid_ingredient	30036
	nhpid_ingredient	30037
	nhpid_ingredient	30038
	nhpid_ingredient	30039
	nhpid_ingredient	30040
	nhpid_ingredient	30041
	nhpid_ingredient	30042
	nhpid_ingredient	30043
	nhpid_ingredient	30044
	nhpid_ingredient	30045
	nhpid_ingredient	30046
	nhpid_ingredient	30047
	nhpid_ingredient	30048
	nhpid_ingredient	30049
	nhpid_ingredient	30050
	nhpid_ingredient	30051
	nhpid_ingredient	30052
	nhpid_ingredient	30053
	nhpid_ingredient	30054
	nhpid_ingredient	30055
	nhpid_ingredient	30056
	nhpid_ingredient	30057
	nhpid_ingredient	30058
	nhpid_ingredient	30059
	nhpid_ingredient	30060
	nhpid_ingredient	30061
	nhpid_ingredient	30062
	nhpid_ingredient	30063
	nhpid_ingredient	30064
	nhpid_ingredient	30065
